n1,n2
0.015625,0.109375
0.0,0.125
0.015625,0.125
0.015625,0.21875
0.03125,0.328125
0.03125,0.40625
0.015625,0.40625
0.015625,0.40625
0.046875,0.59375
0.046875,0.640625
0.046875,0.671875
0.078125,0.84375
0.015625,0.875
0.078125,1.0
0.09375,1.140625
0.09375,1.375
0.125,1.625
0.125,1.65625
0.078125,1.984375
0.0625,1.8125
0.15625,2.4375
